video_link,titel,kategorie,kurzbeschreibung,figuren_oder_techniken,interpretation_was_gelernt,recherchegrundlage,vertrauen
https://www.youtube.com/watch?v=U9yKEnewTas,6 Count Basic - Learn to Lindy Hop from the Ground Up,Unterricht – Grundlagen,Einführung in den 6-Count-Grundschritt des Lindy Hop.,6-Count Basic; Rock Step; Triple Steps,Vermittelt das rhythmische und körperliche Grundgerüst für viele geschlossene und offene 6-Count-Figuren.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=5SSZJtdyf8g,Learn to Lindy Hop from the Ground Up - 6 Count Vocabulary,Unterricht – Grundlagen,Aufbau eines grundlegenden 6-Count-Bewegungswortschatzes.,6-Count Vocabulary; mögliche Pass-bys/Turns/Circles,"Zeigt, wie sich aus demselben Rhythmus mehrere Figuren und Übergänge zusammensetzen lassen.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=tZbArq08Aw8,Rhythm Practice for Lindy Hop & Swing Dance - 6 & 8 Count,Unterricht – Rhythmus,Rhythmusübung für 6- und 8-Count-Strukturen.,6-Count; 8-Count; Triple Steps; Rhythmuswechsel,"Hilft, Figuren nicht nur als Schrittfolgen, sondern als frei kombinierbare rhythmische Bausteine zu verstehen.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=VSE7SD3l3uA,Swing Out - Learn to Lindy Hop from the Ground Up,Unterricht – Grundlagen,Schrittweiser Einstieg in den Swing Out.,Swing Out; Closed-to-Open; Open-to-Closed,"Der Swing Out wird als zentrale 8-Count-Struktur mit Verbindung, Rotation und Raumwechsel erklärt.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=Z8Z6cWgqOq4,Charleston Basic - Lindy From the Ground Up,Unterricht – Grundlagen,Grundtechnik des partnered Charleston.,Basic Charleston; Kick Step; Rock Step,"Legt die Basis für Charleston-Variationen und spätere Tandem-, Hand-to-Hand- und Kick-Through-Figuren.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=ops1aliBCUc,Tandem Charleston - Lindy From the Ground Up,Unterricht – Figuren,Einführung in Tandem Charleston einschließlich S-Turn-Einstieg.,Tandem Charleston; S-Turn/Chase; Push Out,Zeigt eine zentrale Charleston-Position und wie man sicher hinein- und wieder herauskommt.,Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=KGU-bwbK26I,Sugar Push - for Lindy Hop & Swing Dance,Unterricht – Figuren,Erklärung des Sugar Push als kompakte 6-Count-Figur.,Sugar Push; Compression; Stretch,"Veranschaulicht Kompression und Richtungswechsel, die auch in vielen anderen Figuren vorkommen.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=LuejuzpIkhk,"Jig Walks, The Lost Basic - Lindy Hop & Swing Dance",Unterricht – Figuren,Jig Walks als historisch geprägte Lindy-Hop-Basisbewegung.,Jig Walks,Erweitert den Grundwortschatz um eine walking-basierte Bewegung mit deutlich anderem Bewegungsgefühl.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=LHcLXpZccTU,Intermediate Lindy Hop Class 1 - for Lindy Hop & Swing Dance,Unterricht – Klasse/Sequenz,Längere Intermediate-Unterrichtseinheit mit mehreren Figuren und Technikthemen.,Intermediate sequence; mehrere Lindy-Hop-Figuren,Eignet sich eher als Unterrichtssequenz oder Kombination als als Referenz für nur eine einzelne Figur.,Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=QMuEoB9J61s,"6 Count Variations, A Template - for Lindy Hop & Swing Dance",Unterricht – Variationen,"Vorlage, mit der 6-Count-Figuren rhythmisch und strukturell variiert werden können.",6-Count Variations; Rhythmusvariationen,"Lehrt ein generatives Prinzip: Eine bekannte Figur kann systematisch verändert werden, statt jede Variation isoliert zu lernen.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=4BvQuMkrj-U,How the Lead Gives Space to the Follow? (they don't) - For Lindy Hop and Swing Dance,Unterricht – Technik,"Technikgespräch über Raum, Führung und Eigenverantwortung im Partnering.",Lead/Follow; Raum; Verbindung,"Betont, dass Raum nicht passiv 'gegeben' wird, sondern aus Timing, Richtung und beidseitiger Bewegung entsteht.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=4PdtcMjNqI0,"My ""Basic"" Swing Out Variation - for Lindy Hop and Swing Dance",Unterricht – Variation,Laura zeigt ihre persönliche Basisvariation des Swing Outs.,Swing Out Variation,"Macht sichtbar, dass auch ein 'Basic' individuell interpretiert werden kann, solange Rhythmus und Partnerschaft funktionieren.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=wHt_ihwO3_I,5 Things to Make Your Swing Out Better (Follow Edition) - for Lindy Hop and Swing Dance,Unterricht – Technik,Fünf technische Hinweise für Followers im Swing Out.,Swing Out; Follow-Technik; Swivels/Rotation wahrscheinlich,"Fokussiert nicht auf eine neue Figur, sondern auf Qualität, Timing, Balance und aktive Mitgestaltung innerhalb des Swing Outs.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=wQDJta-eUYY,4 Things to Make Your Swing Out Better (Leader Edition) - for Lindy Hop and Swing Dance,Unterricht – Technik,Vier technische Hinweise für Leaders im Swing Out.,Swing Out; Lead-Technik; Rotation; Connection,Bietet eine rollenbezogene Fehleranalyse und Qualitätsverbesserung für die Kernfigur des Lindy Hop.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=tUqKiuPYxYk,"Over-rotated Swing Outs, Switches, & Savoy Twists - for Lindy Hop & Swing Dance",Unterricht – Figuren/Variationen,Verbindet überrotierte Swing Outs mit Switches und Savoy Twists.,Over-rotated Swing Out; Switches; Savoy Twists,"Zeigt eine Figurenfamilie, die aus zusätzlicher Rotation und Richtungswechseln entsteht.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=fHA2KdLjO08,Scissor Kicks & Kick Away - Swing Out Variation for Lindy Hop,Unterricht – Figuren/Variationen,Swing-Out-Variation mit Scissor Kicks und Kick Away.,Scissor Kicks; Kick Away; Swing Out Variation,Verknüpft Solo-/Kick-Footwork mit der Struktur eines Swing Outs und erweitert damit Styling und Rhythmus.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=LX3WPFUpSEc,Alllll the Tuck Turns - for Lindy Hop and Swing Dance,Unterricht – Figurenfamilie,Überblick über verschiedene Tuck-Turn-Varianten aus geschlossener Position.,Tuck Turn; Closed-position Tuck Turn; Variationen,"Ordnet mehrere Tuck Turns als zusammenhängende Familie und macht Unterschiede bei Richtung, Handhaltung und Ausgang deutlich.",Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=zTlnB-tcMio,Changing the Rhythm in Tuck Turns - Lindy Hop & Swing Dance,Unterricht – Rhythmus/Variation,"Tuck Turn als Plattform für Redirections, Tempo- und Rhythmusänderungen.",Tuck Turn; Redirections; Rhythmusvariationen,"Zeigt, wie dieselbe Figur durch verändertes Timing und Richtungswechsel völlig anders wirken kann.",Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=qBBORBZZsNQ,S-turn or Chase to Tandem - for Lindy Hop and Swing Dance,Unterricht – Figuren,S-Turn/Chase als verbreiteter Einstieg in Tandem Charleston.,S-Turn; Chase; Tandem Charleston entrance,Eine wichtige Navigationsfigur: Sie verbindet Side-by-Side-/Facing-Strukturen mit Tandem Charleston.,Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=tNmtisATf1A,More S-Turn Variations - for Lindy Hop and Swing Dance,Unterricht – Figuren/Variationen,S-Turn-Varianten als Einstieg in mehrere Charleston-Figuren.,S-Turn; Hacksaws; Hand-to-Hand; Airplane Charleston,"Nützlich als App-Knotenpunkt, weil ein einziger Einstieg zu mehreren unterschiedlichen Zielfiguren führt.",Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=iB64qssfkGg,Hand To Hand Charleston - for Lindy Hop and Swing Dance,Unterricht – Figuren,Erklärung von Hand-to-Hand Charleston.,Hand-to-Hand Charleston,Eine klassische Charleston-Figur mit spiegelnden Kick-Schritten und klaren Wechseln der Orientierung.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=tQyv3GWOdnY,"Kick Through, & Charleston Turn, Basic Charleston - For Lindy Hop & Swing Dance",Unterricht – Figuren,"Kombination aus Basic Charleston, Kick Through und Charleston Turn.",Basic Charleston; Kick Through; Charleston Turn,Bietet mehrere direkt kombinierbare Charleston-Bausteine und zeigt Übergänge zwischen ihnen.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=QynKMnKX_Yc,Front to Front Airplane Charleston - for Lindy Hop and Swing Dance,Unterricht – Figuren,Front-to-Front-Variante des Airplane Charleston.,Front-to-Front Airplane Charleston,"Eine dramatische, optisch große Charleston-Figur, die laut Beschreibung vergleichsweise wenig Energie benötigt.",Titel/Beschreibungssnippet,hoch
https://www.youtube.com/watch?v=hK3FuknTeeI,Tandem Airplane Charleston - for Lindy Hop & Swing Dance,Unterricht – Figuren,Airplane Charleston in Tandem-Position.,Tandem Airplane Charleston,"Erweitert die Tandem-Charleston-Familie um eine markante, rotations- und armorientierte Figur.",Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=SxPRzU2-Gg4,Advanced Syncopated Charleston Variations - Lindy Hop & Swing Dance,Unterricht – Rhythmus/Variationen,Fortgeschrittene synkopierte Charleston-Variationen.,Syncopated Charleston; Rhythmusvariationen,Der Schwerpunkt liegt auf komplexeren rhythmischen Akzenten statt auf einer einzigen Formfigur.,Titel/Suchergebnis,hoch
https://www.youtube.com/watch?v=mbkOfMZAD7o,4 Easy Charleston Moves for Beginners - Lindy Hop and Swing Dance,Unterricht – Figurenpaket,Vier einfache Charleston-Figuren für Einsteiger.,Vier Charleston-Moves; genaue Namen nicht aus Metadaten sicher,"Gut als niedrigschwelliger App-Einstieg, die konkreten Figurennamen sollten jedoch noch direkt aus dem Video verifiziert werden.",Titel/Suchergebnis,mittel
https://www.youtube.com/watch?v=ROHcKfMo_-Q,1920s-40s Solo Charleston - For Lindy Hop and Swing Dance,Unterricht – Solo Charleston,Solo-Charleston-Material aus verschiedenen historischen Jahrzehnten.,1920s Charleston; 1930s/40s Charleston; Solo Charleston,Zeigt stilistische Entwicklung und unterschiedliche Bewegungsqualitäten innerhalb der Charleston-Tradition.,Titel/Suchergebnis,hoch
